Gene_ID	Control_1	Control_2	Control_3	Control_4	PDX_1	PDX_2	PDX_3	PDX_4
ENSMUSG00000000001	5.838897	5.783818	6.639041	5.712367	4.386579	4.577059	4.831262	3.647078
ENSMUSG00000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028	0.518289	0.958790	0.684854	0.937373	0.921805	0.426609	0.716607	1.140268
ENSMUSG00000000031	511.709503	848.740173	507.634399	433.124512	621.764099	402.037231	502.772034	444.855042
ENSMUSG00000000037	0.096354	0.032990	0.000000	0.084654	0.000000	0.031865	0.033674	0.000000
ENSMUSG00000000049	0.201734	0.069688	0.219004	0.000000	0.000000	0.000000	0.084202	0.000000
ENSMUSG00000000056	29.158363	29.386654	27.619917	29.713196	24.375582	27.976797	25.940928	30.936399
ENSMUSG00000000058	12.488766	13.735619	10.747335	13.728879	6.121328	9.440496	8.962627	8.727625
ENSMUSG00000000078	10.676640	10.193872	11.148199	6.411719	7.670497	10.784836	11.393109	8.520823
ENSMUSG00000000085	9.044673	9.778309	15.987189	16.066755	10.561136	13.452354	13.625381	9.188070
ENSMUSG00000000088	283.503113	341.127075	318.511322	302.143829	248.864944	308.828033	258.392944	281.174286
ENSMUSG00000000093	0.756404	0.893234	0.766343	0.858391	0.428673	0.853908	0.773566	0.770277
ENSMUSG00000000094	0.706607	0.792328	0.789489	0.535051	0.314681	0.279784	0.715712	0.550892
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120	0.475294	0.614938	0.753320	0.948369	1.245423	0.828541	0.983385	0.434028
ENSMUSG00000000125	0.053094	0.0	0.000000	0.0	0.000000	0.027545	0.0	0.0
ENSMUSG00000000126	2.481744	2.585630	2.172156	2.628736	2.779520	2.673584	2.066206	2.388813
ENSMUSG00000000127	4.363214	3.326140	3.690835	3.178433	3.193111	3.537121	3.910644	2.902427
ENSMUSG00000000131	6.090412	6.266328	5.518913	6.984176	7.258139	8.393026	7.270674	8.717875
ENSMUSG00000000134	1.635505	2.388609	2.910900	2.290018	1.743175	1.962693	2.091754	1.863675
ENSMUSG00000000142	2.256450	2.302434	2.663933	3.549720	1.828920	2.142797	2.274882	1.792358
ENSMUSG00000000148	1.277721	1.428151	1.224945	1.444712	1.570794	1.589035	1.851158	1.190205
ENSMUSG00000000149	6.711525	7.912975	7.147887	7.607765	4.979114	6.151913	5.646613	4.641100
ENSMUSG00000000154	0.000000	0.152605	0.125140	0.294478	0.000000	0.124997	0.000000	0.000000
ENSMUSG00000000157	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000
ENSMUSG00000000159	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000
ENSMUSG00000000167	0.000000	0.707666	0.294975	0.302814	0.130789	0.166150	0.217479	0.207597
ENSMUSG00000000168	39.605099	44.840420	43.860142	45.748325	34.266373	38.864048	38.626060	41.477722
ENSMUSG00000000171	104.364044	122.497589	113.728920	112.365761	96.070404	107.421738	103.521027	107.171661
ENSMUSG00000000182	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0
ENSMUSG00000000183	0.628135	0.822677	0.865902	0.983349	0.850414	1.138222	0.542068	0.822594
ENSMUSG00000000184	4.236060	4.442087	3.241724	4.828456	2.154746	2.698149	3.206705	2.092307
ENSMUSG00000000194	6.272863	6.724350	5.143345	5.388248	5.911677	5.129325	5.531049	5.542015
ENSMUSG00000000197	0.000000	0.000000	0.022341	0.045711	0.000000	0.000000	0.040366	0.0
ENSMUSG00000000202	0.027117	0.054023	0.076689	0.000000	0.0	0.0	0.0	0.0
ENSMUSG00000000204	0.000000	0.000000	0.145250	0.112237	0.297476	0.084161	0.072075	0.278171
ENSMUSG00000000214	0.0	0.0	0.000000	0.260361	0.0	0.0	0.000000	0.0
ENSMUSG00000000215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000216	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000
ENSMUSG00000000223	1.964827	2.645607	3.247470	1.593884	1.309052	1.980927	1.100344	1.945912
ENSMUSG00000000244	0.106478	0.101755	0.098381	0.044925	0.268031	0.045423	0.229408	0.095513
ENSMUSG00000000247	0.202431	0.028887	0.000000	0.118363	0.147485	0.000000	0.152255	0.174981
ENSMUSG00000000248	0.000000	0.000000	0.000000	0.000000	0.042513	0.000000	0.000000	0.000000
ENSMUSG00000000253	45.394100	50.086811	46.713894	52.171780	53.465164	55.083313	55.020676	49.079140
ENSMUSG00000000263	0.0	0.0	0.032677	0.0	0.0	0.0	0.000000	0.0
ENSMUSG00000000266	1.245941	1.149715	1.390111	1.540884	1.271434	1.227925	1.537384	1.230310
ENSMUSG00000000275	3.789858	2.509859	2.362241	2.114942	2.237423	2.311641	3.091737	1.917801
ENSMUSG00000000276	0.802603	0.911654	0.844826	1.140600	1.029128	1.083845	1.317477	0.884540
ENSMUSG00000000278	3.713562	3.135463	3.646396	3.589316	2.900465	2.638579	3.090426	2.431451
ENSMUSG00000000282	2.055868	1.959344	2.101488	2.210289	2.407043	2.699985	2.683697	2.107635
ENSMUSG00000000290	0.544379	0.388426	0.595444	0.692551	1.215941	0.274200	0.617406	0.000000
ENSMUSG00000000295	3.189208	4.030066	3.023209	3.986057	3.983852	3.883162	4.229242	4.406680
ENSMUSG00000000296	11.548133	10.859166	10.099065	10.226599	12.317343	11.327228	13.072483	9.155121
ENSMUSG00000000301	0.976310	1.009830	1.141095	0.651085	1.354795	0.702361	1.046309	1.892849
ENSMUSG00000000303	0.647751	0.173050	0.177527	0.187527	0.084041	0.151372	0.000000	0.075474
ENSMUSG00000000305	4.827542	4.647441	3.861964	6.422392	2.033147	4.276509	2.189242	2.901148
ENSMUSG00000000308	0.247557	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000
ENSMUSG00000000317	1.582155	2.672405	3.363239	2.753106	0.534509	3.340736	3.220896	1.636523
ENSMUSG00000000318	1.632679	0.463373	2.107847	2.321446	4.026390	2.422407	3.523196	1.217452
ENSMUSG00000000320	0.600584	0.948868	1.145095	1.021276	0.599500	0.960758	0.665867	2.098872
ENSMUSG00000000325	2.174705	2.660431	3.669731	3.432142	2.716203	2.226353	3.472004	3.714492
ENSMUSG00000000326	13.190891	15.199105	13.275675	15.709608	15.983522	12.866205	12.719070	12.717650
ENSMUSG00000000339	6.508149	7.509036	8.334938	7.748854	7.872779	9.202717	8.188470	9.286862
ENSMUSG00000000340	8.684508	11.351010	10.606656	10.367725	9.741015	11.142786	9.317415	11.692587
ENSMUSG00000000346	23.643259	24.215582	24.702250	25.621922	27.936317	26.544655	28.727385	24.192240
ENSMUSG00000000355	14.743993	17.921112	18.140936	20.114098	18.925797	18.334103	18.261654	17.740074
ENSMUSG00000000359	1.048352	0.944259	1.381684	0.987509	0.573958	0.574001	0.791499	0.373676
ENSMUSG00000000365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000374	9.826019	10.887647	10.623133	10.307368	9.854386	9.481671	9.517899	9.137284
ENSMUSG00000000378	4.683353	6.223786	6.084189	5.338672	6.718375	3.828495	5.670187	5.775464
ENSMUSG00000000381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000384	12.614832	15.326190	13.766027	14.050219	12.753138	13.604662	12.697740	13.116014
ENSMUSG00000000385	0.000000	0.0	0.0	0.000000	0.000000	0.046103	0.044876	0.0
ENSMUSG00000000386	0.115020	0.000000	0.094414	0.000000	0.137620	0.143249	0.000000	0.000000
ENSMUSG00000000392	2.544053	2.398943	2.599152	3.134574	1.855668	1.669067	2.527277	2.299723
ENSMUSG00000000394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000399	87.054214	99.925011	98.597755	96.936989	92.120972	99.723984	94.100494	97.344833
ENSMUSG00000000402	0.307878	0.149640	0.000000	0.148716	0.000000	0.0	0.091854	0.000000
ENSMUSG00000000409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000
